section_component,corpus_coverage,universality,family_notes,parseability_confidence,atlas_use_recommended,suggested_atlas_use,suggested_priority,risk_notes
Guide metadata (version / pub_date),84/115 (73%),common,All 3 rolled-out families have metadata. ~27% of corpus uses old format (no footer) or has page_count=0 cosmetic gap.,MEDIUM — reliable where present; silent gap where absent,YES,Show guide version and publication date on program pages as a data-freshness signal,MEDIUM,Do not treat missing metadata as a parse failure; build with absence-tolerant rendering
Guide metadata (program_code from footer),84/115 (73%),common,Same coverage as version/pub_date; same gap pattern,MEDIUM — reliable where present,YES,Internal use only — used for cross-validation and artifact naming; not student-facing,INTERNAL,
Degree title / program description,115/115 (100%),universal,Present in all 115 guides. Already in Atlas via catalog.,HIGH,CONDITIONAL,Already present in Atlas via catalog/enrichment pipeline; only use guide-sourced title if catalog version is missing or to cross-validate,LOW,Guide description is generally boilerplate intro text; catalog description is higher quality
Standard Path — course list (titles),115/115 (100%),universal,Present in all 115 guides per manifest detection. Parsed correctly for 38/38 rolled-out guides except BSITM SP (LOW).,HIGH for 37/38 parsed; LOW for BSITM,YES,Show ordered course list as Standard Path section on program pages — represents official recommended progression,HIGH,BSITM SP data must be excluded; untouched families not yet validated
Standard Path — CU values,38/115 (validated in 33%),common per manifest,Present in all guides with Standard Path table. Reliable for standard_bs and cs_ug 3-col guides (16+8=24). Education_ba teacher licensure subtypes have no Term but do have CU column.,HIGH for 24 validated guides; unknown for 77 untouched,YES — for validated guides only,Show per-course CU values alongside course titles in Standard Path display; high student value for planning,HIGH,Untouched families not validated; do not extrapolate
Standard Path — Term values,~70% estimated based on 3-col format guides,common-optional,3-column SP format has Term; 2-column format (education teacher licensure subtypes) does not. Roughly 14 of 19 standard_bs guides + 8 cs_ug guides + 8 educational_studies guides = ~30 of 38 parsed.,HIGH for 3-col validated guides; absent for 2-col subtypes,YES — for guides with Term column,Show term sequence to help students understand program pacing; absent means 2-col format — render gracefully,HIGH,Render without Term for 2-col guides; do not assume Term universally
Areas of Study — group structure,38/38 (100% of parsed),universal in parsed,Present in all 38 parsed guides. Group count varies: 3–14 groups per guide. Groups are program-specific (e.g. Data Analytics / General Education / Business Core).,HIGH for all 38 parsed guides,YES,Show AoS group organization on program detail page — helps students understand how courses are clustered,MEDIUM,Not yet validated for 77 untouched guides; display as-parsed
Areas of Study — course descriptions,38/38 (100% of parsed); 0 empty,universal in parsed,0 empty descriptions across all 38 parsed guides (532+ courses). This is the highest-confidence field in the corpus.,HIGH for all 38 parsed guides,YES — strongest enrichment candidate,Surface course descriptions on program pages or in course-level detail; high student value vs. catalog which provides no inline descriptions,HIGH,No major risk for parsed families; course-code matching (Phase E) needed before wiring to existing course detail pages
Competency bullets,38/38 (100% of parsed); near-zero empty,universal in parsed,0 empty lists across all parsed guides except: BSITM 1 course; BSSWE_C 1 course (both PDF artifact cases).,HIGH for 37/38 guides; MEDIUM for BSITM/BSSWE_C,YES — strong enrichment candidate,Show per-course competency bullets as learning expectations; highly useful for students evaluating whether a course fits their goals,MEDIUM,Competency text is long — design for progressive disclosure (show/hide); keep count rather than full list as default view
Prerequisite mentions (inline),38/38 (100% of parsed),universal in parsed,Present in all 38 parsed guides via inline description text. Known false-positive pattern: inverted language ('no prerequisite for this course' matches same regex).,MEDIUM — extraction works but has known false-positive regex pattern,YES — with caveat,Flag courses that have prerequisites in program pathway view; clarify to student which courses require prior completion,MEDIUM,False-positive rate is unknown — do not display raw extracted text without editorial review; display as 'has prerequisite note' flag only
Certification-prep mentions (inline),53/115 manifest (~46%); 27/38 parsed,common-optional,Present in 27 of 38 parsed guides. High density in cs_ug (cloud/network guides): 10–13 mentions per guide. 0 in most education_ba teacher licensure guides.,HIGH — inline extraction reliable,YES — high student value for cs_ug and tech-adjacent standard_bs,Surface certification exam names as course attributes on program pages; extremely useful for tech-oriented students who care about industry certification alignment,HIGH for cs_ug and tech standard_bs; MEDIUM for general programs,No major structural risk; cert names are explicitly stated in guide text
Capstone (section + course),18/115 manifest (15.7%); 4/38 parsed,rare-optional,Capstone detected in: BSDA/BSBAHC/BSHHS/BSMGT (standard_bs); BSCSIA (cs_ug); 0 education_ba guides. Absent in 34 of 38 parsed guides.,HIGH — when present; detection is reliable (false-positive fix already deployed),CONDITIONAL,Flag Capstone course separately on program page when present; do not fabricate absence/presence from guide alone,LOW,Capstone section is reliably detected when present; absence means absent in guide (not a parser miss)
Clinical Experiences (as AoS group),15+ estimated across corpus,family-specific,education_ba teacher licensure: BAELED/BASPEE/BASPMM. education_bs: all 4 guides. teaching_mat: 7/9. standard_bs: BSMES. Endorsement: ENDECE. Total likely 15+ guides.,HIGH for parsed families; unknown for untouched,YES — for education programs,Surface as named AoS group; label clearly as 'Clinical Experiences' — students in licensure programs rely on this information,MEDIUM for education programs,Parser handles this as a normal AoS group label — no special section handler needed
Student Teaching (as AoS group),12+ estimated across corpus,family-specific,education_ba: BAELED/BASPEE. education_bs: all 4. teaching_mat: 7/9. standard_bs: BSMES.,HIGH for parsed families; unknown for untouched,YES — for education/licensure programs,Surface as named AoS group; same pattern as Clinical Experiences,MEDIUM for education programs,Same as Clinical Experiences — handled as normal AoS group
Field Experience,2 confirmed (ENDELL / MAELLP12),rare-subtype-specific,Only detected in ENDELL (endorsement) and MAELLP12 (education_ma). No content parse done for either.,UNKNOWN — not yet parsed,NO — not yet,Defer until gate test confirms how Field Experience appears structurally and whether content is meaningful,LOW (deferred),Unknown section format; could be abbreviated or boilerplate
Practicum,1 confirmed (MSEDL),rare-subtype-specific,Only confirmed in MSEDL (education_grad). No content parse done.,UNKNOWN — not yet parsed,NO — not yet,Defer until MSEDL is gate-tested,LOW (deferred),Unknown section format
Post-Master section,4 confirmed (nursing_pmc family),family-specific,All 4 PMC nursing guides have 'Post-Master' heading. Parser currently skips this section entirely.,UNKNOWN — not extracted,NO — not yet,Defer until nursing_pmc family is gate-tested and Post-Master content is understood,LOW (deferred),Current parser silently skips Post-Master content without extracting it
